women_age,region,residence,v106,religion,ethnicity,no_of_H_members,v137,v150,v151,age_H_head,v157,v158,v159,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,number_of_other_wives,marital_duration,v613,v621,husband_education,husbands_occupation,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,ipv
2,9,1,1,2,3,3,1,2,1,25,1,2,2,4,1,0,1, ,3,0,0,0,0,1,1,1,0,17,2,1,2,39,1,91,25,4,4,4,4,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,8,0,0
6,9,1,3,2,4,5,0,2,1,44,2,2,2,5,3,0,3, ,6,0,0,0,0,1,1,1,0,24,6, ,3,28,1,39,44,4,2,2,2,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,1,0,0
5,9,1,2,1,7,5,0,1,2,34,1,2,2,5,3,0,3, ,3,0,0,0,0,1,5, , ,14,4, ,1,76,1,41, , , , , ,0,1,0,0,0,0,0,1, ,0,1,1,0,0,0,0,0,1,1
1,9,1,1,2,6,2,0,2,1,25,0,1,2,4,0,1,0,2,0,0,0,0,0,1,1,1,0,15,1,2,2,71,0,52,25,4,2,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,2
2,9,1,1,1,7,4,2,2,1,30,0,2,2,3,2,0,2, ,5,0,0,0,0,1,1,1,0,17,2,8,2,71,1,91,30,2,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,9,1,2,2,4,4,0,2,1,51,0,2,2,5,3,0,3, ,0,0,0,0,0,1,2,1,0,21,3,3,2,91,1,91,51,1,1,1,4,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0
3,9,1,3,2,4,2,0,2,1,30,0,2,2,5,0,1,0,1,0,0,0,0,0,1,1,1,0,24,2,1,3,87,1,91,29,1,2,2,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,8,0,0
3,9,1,2,2,4,2,0,2,1,27,0,2,2,5,0,1,0,1,0,0,0,0,0,1,1,1,0,26,3,3,2,52,0,75,27,2,2,2,2,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,2
3,9,1,2,1,9,2,1,1,2,28,1,2,2,5,1,0,1, ,0,0,0,0,0,1,5, , ,22,3, ,2,91,1,91, , , , , ,0,0,0,0,0,1,0,1, ,0,1,0,1,0,0,1,0,2,2
4,9,1,3,2,3,3,0,2,1,33,0,0,2,5,1,0,1, ,0,0,0,0,0,1,1,1,0,26,3,1,3,91,1,52,33,1,2,2,2,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,1
3,9,1,3,1,4,4,1,2,1,28,2,2,2,5,1,0,1, ,2,0,0,0,0,1,1,1,0,25,2,1,3,31,1,31,27,2,2,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2,9,1,2,3,6,3,1,2,1,22,0,2,0,4,1,0,1, ,11,0,0,0,0,1,1,1,0,19,3,3,2,91,0,0,22,4,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
4,9,1,2,2,3,4,0,2,1,43,0,2,2,5,3,0,2, ,11,0,0,0,0,1,1,1,0,19,3,1,1,76,1,51,43,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4
2,9,1,3,1,4,3,1,2,1,23,0,2,2,5,1,0,1, ,3,0,0,0,0,1,1,1,0,20,3,1,3,91,1,91,28,1,2,2,4,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0
3,9,1,2,2,3,4,1,2,1,31,0,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,20,3,1,1,77,1,77,31,2,1,4,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
6,9,1,1,2,4,2,0,2,1,42,0,0,0,4,0,0,0, ,0,0,0,0,0,1,1,1,0,27,6,1,1, ,1,91,42,2,2,2, ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
3,9,1,3,2,6,3,1,2,1,27,1,2,2,5,1,1,1,2,0,0,0,0,0,1,1,1,0,21,3,1,3,35,0,0,27,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,9,1,1,1,4,4,2,2,1,34,1,2,2,5,3,0,2, ,0,0,0,0,0,1,1,1,0,23,3,1,2,31,0,35,34,2,2,2,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0, ,0,0
2,9,1,1,2,4,3,0,2,1,30,0,2,2,5,1,0,1, ,1,0,0,0,0,1,1,1,0,14,2,1,2,28,1,28,30,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9,1,2,2,3,2,0,2,1,26,0,2,2,5,0,1,0,1,0,0,0,0,0,1,1,1,0,23,2,1,1,91,1,52,26,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1
3,9,1,2,1,3,4,1,2,1,35,0,0,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,21,4,3,2,91,1,91,35,1,4,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0
2,9,1,2,2,5,2,0,2,1,25,1,2,2,5,1,0,0, ,3,0,0,0,0,1,1,1,0,22,2,1,3,36,1,91,25,4,4,4,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1
3,9,1,1,2,6,4,0,1,2,30,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,2,0,18,3,2,2,88,1,52,34,1,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,2,3
5,9,1,1,2,3,3,1,2,1,43,0,2,0,5,5,0,5, ,3,0,0,0,0,1,1,1,0,17,3,1,2,93,1,91,46,1,4,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,8,2,1
4,9,1,2,2,3,4,1,2,1,40,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,23,2,1,3,88,0,0,40,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,9,1,1,2,6,1,0,1,2,35,0,2,0,4,2,0,1, ,0,0,0,0,0,1,4, , ,16,2, ,2,53,1,53, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,1,0,1,3
4,9,1,1,2,6,2,0,2,1,36,1,2,1,4,3,0,2, ,3,0,0,0,0,1,1,1,0,19,3,1,2,91,1,77,34,1,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
5,9,1,2,2,3,5,0,2,1,41,0,2,2,4,2,0,2, ,1,0,0,0,0,1,1,1,0,18,3,1,2,91,1,91,41,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,9,1,2,2,6,2,0,2,1,30,0,2,2,4,0,1,0,1,0,0,0,0,0,1,1,1,0,22,2,1,2,72,0,0,30,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,9,1,2,2,3,5,1,2,1,32,0,0,2,5,2,0,2, ,10,0,0,0,0,1,1,1,0,24,2,1,3,91,1,53,32,2,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
3,9,1,2,2,7,4,1,2,1,29,2,2,2,5,1,0,1, ,1,0,0,0,0,1,1,1,0,20,4,3,2,91,1,77,29,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0
3,9,1,1,1,3,4,1,2,1,40,0,0,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,19,3,1,2,41,0,0,30,4,4,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
4,9,1,2,2,4,1,0,1,2,31,0,0,2,5,2,0,2, ,0,0,0,0,0,1,5, , ,17,3, ,3,35,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,1,0,2,0
5,9,1,2,2,6,6,0,2,1,42,0,1,2,5,4,0,4, ,3,0,0,0,0,1,1,1,0,18,6,3,1,71,1,91,42,1,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,2
3,9,1,1,1,3,1,0,1,2,28,2,2,0,5,2,0,2, ,11,0,0,0,0,1,5, , ,19,4, ,1,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,0,1,1,4
3,9,1,2,2,4,4,0,2,1,34,1,2,2,5,2,0,2, ,1,0,0,0,0,1,1,1,0,19,2,1,2,51,1,35,30,1,4,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,2,4
3,9,1,1,2,5,4,2,2,1,34,0,2,0,4,2,0,2, ,3,0,0,0,0,1,1,1,0,19,3,1,1,88,0,0,34,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8,0,0
4,9,1,2,2,3,9,3,2,1,60,0,2,0,3,7,0,7, ,0,0,0,0,0,1,1,1,0,18,4,1,1,91,0,0,57,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
4,9,1,1,2,4,8,2,2,1,47,0,1,0,3,7,0,6, ,0,0,0,0,0,1,1,1,0,18,96,2,2,74,1,74,43,2,2,2,2,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
2,9,1,1,1,4,4,1,2,1,31,0,2,2,4,2,0,2, ,3,0,0,0,0,1,1,1,0,16,2,8,1,91,1,51,31,1,1,4,1,1,1,1,0,0,2,0,1,1,0,1,1,1,0,1,1,1,2,3
7,9,1,2,2,4,5,0,1,2,48,0,2,2,4,1,0,1, ,0,0,0,0,0,1,5, , ,24,5, ,2,42,0,39, , , , , ,0,0,0,0,0,2,2,1, ,0,1,0,1,0,1,1,0,0,1
4,9,1,3,1,5,3,1,1,2,31,2,2,2,5,1,0,1, ,2,0,0,0,0,1,1,2,0,29,2,1,3,28,1,15,33,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,9,1,3,2,5,2,0,2,1,43,2,2,2,5,1,0,1, ,0,0,0,0,0,1,1,1,0,19,3,1,3,35,1,28,43,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,9,1,3,1,4,3,1,1,2,41,2,1,2,5,2,0,2, ,2,0,0,0,0,1,4, , ,27,3, ,3,91,1,24, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,1,1,0,1
1,9,1,2,2,3,3,0,2,1,27,0,2,0,5,0,0,0, ,1,0,0,0,0,1,1,1,0,16,2,2,3,25,0,0,27,4,4,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
2,9,1,2,2,4,4,2,2,1,37,0,2,2,5,2,0,2, ,1,0,0,0,0,1,1,1,0,15,2,1,3,14,1,51,34,1,4,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4,9,1,1,2,3,3,0,1,2,30,2,2,2,5,2,0,2, ,0,0,0,0,0,1,3, , ,14,1, ,2,28,1,52, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,1,0,2,0
4,9,1,1,4,4,6,1,3,2,50,0,2,0,4,3,0,3, ,11,0,0,0,0,1,5, , ,21,5, ,0,35,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,1,0,0
4,9,1,2,1,4,4,1,2,1,37,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,20,2,1,2,91,1,32,35,1,2,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,0,0,0
7,9,1,1,2,3,6,0,2,1,52,1,2,2,5,4,0,4, ,0,0,0,0,0,1,1,1,0,28,4,1,2,35,1,53,52,1,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,3
2,9,1,2,2,3,3,1,2,1,28,2,2,2,5,1,0,1, ,3,0,0,0,0,1,1,1,0,19,2,2,2,53,0,0,28,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,9,1,2,2,6,2,0,2,1,34,1,1,2,4,1,0,1, ,0,0,0,0,0,1,1,1,0,23,3,2,2,88,1,91,34,4,1,1,4,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,2
2,9,1,3,2,9,2,0,2,1,25,1,2,2,5,0,0,0, ,0,0,0,0,0,1,1,1,0,20,2,1,3,13,0,91,25,4,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,2
2,9,1,2,2,3,3,1,2,1,25,1,2,1,3,1,0,1, ,5,0,0,0,0,1,1,1,0,21,3,1,3,74,1,74,25,4,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,9,1,2,1,3,2,0,2,1,32,0,0,0,4,1,1,1,1,0,0,0,0,0,1,1,1,0,23,3,1,1,53,0,0,32,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
3,9,1,2,2,7,3,1,2,1,35,0,2,2,4,2,0,1, ,3,0,0,0,0,1,1,1,0,21,4,3,2,29,1,91,35,4,1,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
3,9,1,3,2,5,3,1,2,1,33,1,2,2,4,1,0,1, ,3,0,0,0,0,1,1,1,0,24,2,3,3,91,1,77,33,1,4,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
5,9,1,1,2,3,4,1,2,1,40,0,1,2,4,3,0,3, ,11,0,0,0,0,1,1,1,1,20,2,2,2,91,1,91,40,1,1,4,4,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,2,2
2,9,1,1,1,5,2,0,2,1,29,0,2,1,4,0,1,0,1,0,0,0,0,0,1,1,1,0,21,3,8,2,71,1,91,29,4,1,4,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
4,9,1,3,2,4,5,2,2,1,38,0,2,2,5,3,0,3, ,5,0,0,0,0,1,1,1,0,17,2,1,3,31,1,14,38,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,9,1,3,2,4,3,1,2,1,30,1,2,2,5,1,0,1, ,8,0,0,0,0,1,1,1,0,23,3,1,3,28,1,52,30,4,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
3,9,1,1,2,3,4,1,12,1,33,1,2,2,5,4,0,4, ,0,0,0,0,0,1,5, , ,13,2, ,2,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,1,1,1,0,1,4
1,9,1,2,2,7,2,0,2,1,21,0,2,2,5,0,0,0, ,0,0,0,0,0,1,1,1,0,16,4,1,1,51,1,91,21,4,2,4,2,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
3,9,1,2,2,4,4,0,2,1,30,0,2,2,4,2,0,2, ,0,0,0,0,0,1,2,1,1,17,3,2,1,91,1,91,29,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1
4,9,1,2,2,4,3,1,2,1,35,1,2,2,5,3,0,1, ,11,0,0,0,0,1,1,1,0,29,2,2,3,91,0,0,35,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,9,1,1,1,7,5,2,2,1,36,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,19,2,1,2,72,1,53,36,4,4,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,9,1,1,1,3,4,0,1,2,36,0,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,14,3,2,1,53,1,91,40,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0
3,9,1,2,2,4,5,1,1,2,27,0,2,2,5,2,0,2, ,11,0,0,0,0,1,1,2,0,18,2,1,2,72,1,91,31,4,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
4,9,1,1,1,3,5,2,2,1,34,1,2,2,5,3,0,3, ,1,0,0,0,0,1,1,1,0,25,2,1,2,71,0,0,34,1,1,4,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
4,9,1,1,2,4,3,1,2,1,42,0,2,2,5,3,0,3, ,1,0,0,0,0,1,1,1,1,16,3,2,1,91,1,91,42,1,4,2,4,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,1,8,0,2
3,9,1,3,2,4,2,0,1,2,29,2,2,2,5,1,0,1, ,5,0,0,0,0,1,4, , ,19,2, ,3,53,1,39, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,0,0,0,1,0,1,3
2,9,1,3,2,1,2,0,2,1,27,0,1,2,5,2,1,0,1,0,0,0,0,0,1,1,1,0,20,5,2,3,91,1,25,27,4,4,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1
4,9,1,2,2,3,4,0,1,2,34,2,2,2,5,2,0,2, ,11,0,0,0,0,1,5, , ,24,2, ,2,29,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,0,0,1,1,1,0,1,4
6,9,1,1,2,3,5,1,2,1,49,1,2,2,5,4,0,4, ,1,0,0,0,0,1,1,1,0,26,4,3,1,91,1,91,49,1,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,8,2,1
4,9,1,1,2,6,8,2,2,1,42,0,0,0,3,8,1,6,3,0,0,0,0,0,1,1,1,0,16,3,8,1,91,1,91,42,1,2,4,4,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
7,9,1,3,2,4,4,0,1,2,47,2,2,2,5,2,0,2, ,0,0,0,0,0,1,4, , ,20,2, ,3,41,1,91, , , , , ,8,8,8,8,8,0,0,1, ,0,1,0,0,0,1,1,0,0,3
2,9,1,1,2,4,1,0,1,2,23,0,2,2,4,1,0,1, ,0,0,0,0,0,1,5, , ,20,4, ,2,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,1,1,1,4
5,9,1,1,2,4,5,1,2,1,39,1,2,2,5,3,0,3, ,11,0,0,0,0,1,1,1,0,22,5,3,1,91,1,91,39,1,1,2,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,9,1,2,2,4,3,0,2,1,29,0,2,2,5,1,0,1, ,3,0,0,0,0,1,2,1,0,19,2,2,3,88,1,91,29,2,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1
6,9,1,2,2,4,2,0,1,2,44,2,0,0,4,2,0,2, ,0,0,0,0,0,1,3, , ,20,4, ,2,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,0,1,1,1,1,0,1,4
3,9,1,3,1,4,3,1,3,2,64,0,2,1,5,2,0,1, ,5,0,0,0,0,1,5, , ,21,4, ,3,15,1,13, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,1,1,0,0,2
3,9,1,2,2,1,7,2,1,2,27,1,2,2,4,1,0,1, ,0,0,0,0,0,1,5, , ,18,3, ,3,24,1,76, , , , , ,1,1,1,0,0,0,0,1, ,0,1,0,1,0,1,0,0,0,1
6,9,1,3,2,4,4,1,3,1,69,2,2,2,5,1,0,1, ,3,0,0,0,0,1,1,2,0,34,2,1,3,22,1,22,45,2,2,2,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
6,9,1,1,1,7,7,0,2,1,40,0,2,2,5,5,0,5, ,11,0,0,0,0,1,2,1,0,17,5,3,1,72,0,0,40,2,2,4,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0
4,9,1,2,1,4,4,1,1,2,35,2,2,2,5,2,0,2, ,3,0,0,0,0,1,2,1,0,18,2,1,2,72,1,91,40,4,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
3,9,1,2,2,4,4,2,2,1,28,0,2,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,22,3,1,2,88,0,0,28,1,2,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,9,1,2,2,7,3,1,2,1,26,2,2,2,4,1,0,1, ,0,0,0,0,0,1,2,1,0,18,3,1,2,72,0,0,26,1,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,8,0,0
3,9,1,3,2,3,3,1,2,1,31,1,1,2,5,1,0,1, ,3,0,0,0,0,1,1,1,0,26,2,1,2,91,1,53,31,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
3,9,1,2,2,7,4,1,2,1,29,2,2,2,5,1,0,1, ,0,0,0,0,0,1,1,1,1,19,3,1,1,77,1,91,28,2,4,4,2,0,0,0,0,0,0,0,1,8,0,1,0,0,0,1,0,0,0,1
3,9,1,2,2,6,4,1,2,1,34,0,1,1,4,2,0,2, ,11,0,0,0,0,1,1,1,0,19,2,2,2,88,1,77,33,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
5,9,1,1,2,3,4,1,1,2,31,0,1,1,4,3,0,3, ,11,0,0,0,0,1,3, , ,22,3, ,1,61,1,53, , , , , ,0,0,0,0,0,0,1,1, ,0,1,0,1,0,1,0,1,1,2
